variable,relative_importance,scaled_importance,percentage
gender,6871048192.0,1.0,0.5359567102955844
weight,5191244800.0,0.7555244345461287,0.4049283904872748
age,412852928.0,0.060085872848437735,0.03220342674708747
height,334005536.0,0.048610565181144344,0.026053158600095206
is_affiliate_trained,11003717.0,0.0016014611879467953,0.0008583138699580231
